index,time,open,high,low,close,volume
VN30,2012-02-06,447.47,447.47,447.47,447.47,13467070
VN30,2012-02-07,449.31,449.31,449.31,449.31,17261070
VN30,2012-02-08,460.98,460.98,460.98,460.98,20406280
VN30,2012-02-09,464.73,464.73,464.73,464.73,20379320
VN30,2012-02-10,458.23,458.23,458.23,458.23,20816360
VN30,2012-02-13,446.23,446.23,446.23,446.23,13169260
VN30,2012-02-14,450.22,450.22,450.22,450.22,12913010
VN30,2012-02-15,446.08,446.08,446.08,446.08,12467930
VN30,2012-02-16,441.93,445.37,439.63,443.54,16595430
VN30,2012-02-17,445.44,451.22,445.44,451.22,13335610
VN30,2012-02-20,459.71,465.45,459.17,465.44,18064580
VN30,2012-02-21,459.71,475.54,460.72,462.27,25524870
VN30,2012-02-22,459.71,470.97,460.85,470.97,19632000
VN30,2012-02-23,471.23,476.4,467.88,476.4,25663390
VN30,2012-02-24,471.23,483.72,476.93,477.77,26683350
VN30,2012-02-27,471.23,487.49,477.77,485.85,23089780
VN30,2012-02-28,477.77,490.17,479.53,480.89,29995430
VN30,2012-02-29,479.93,485.18,476.39,485.18,28501670
VN30,2012-03-01,479.93,491.01,484.33,491.01,22342000
VN30,2012-03-02,495.69,503.74,495.45,503.54,26665530
VN30,2012-03-05,495.45,527.47,507.83,524.94,29555260
VN30,2012-03-06,534.73,534.73,507.2,508.41,45858720
VN30,2012-03-07,504.44,505.9,494.59,505.9,36337800
VN30,2012-03-08,495.63,503.39,489.05,489.05,28423440
VN30,2012-03-09,486.66,492.37,478.99,487.03,24564720
VN30,2012-03-12,483.35,485.99,476.12,482.65,25924400
VN30,2012-03-13,485.49,490.9,482.87,486.42,21389800
VN30,2012-03-14,493.22,495.11,485.6,491.23,21343890
VN30,2012-03-15,489.49,502.82,486.57,502.82,38683080
VN30,2012-03-16,506.99,511.8,496.87,496.87,51785610
VN30,2012-03-19,492.57,500.41,491.02,497.22,19375210
VN30,2012-03-20,494.82,501.43,494.24,501.29,20306320
VN30,2012-03-21,506.78,513.87,504.76,506.8,34696070
VN30,2012-03-22,502.02,508.67,502.02,505.54,24700500
VN30,2012-03-23,502.02,514.52,507.94,512.84,26117150
VN30,2012-03-26,517.02,518.09,509.49,517.27,28753200
VN30,2012-03-27,514.09,515.73,502.41,502.41,33826440
VN30,2012-03-28,499.74,505.25,493.89,504.54,20095550
VN30,2012-03-29,507.21,507.59,497.95,498.48,23528960
VN30,2012-03-30,501.05,503.36,496.99,500.07,19134730
VN30,2012-04-03,499.97,506.73,499.65,505.77,16311770
VN30,2012-04-04,506.92,507.55,499.97,500.28,15528440
VN30,2012-04-05,499.29,508.25,498.44,507.35,22504320
VN30,2012-04-06,510.36,515.13,509.25,511.51,29506930
VN30,2012-04-09,516.64,517.75,513.8,515.64,22525740
VN30,2012-04-10,516.42,522.79,514.72,517.4,27702170
VN30,2012-04-11,522.29,527.63,519.55,527.63,31311990
VN30,2012-04-12,531.17,540.93,530.07,537.28,35158140
VN30,2012-04-13,540.11,540.68,532.3,532.3,39331780
VN30,2012-04-16,533.26,542.36,530.48,539.17,28106250
VN30,2012-04-17,542.21,546.98,538.03,544.13,32161550
VN30,2012-04-18,544.76,551.52,540.63,541.6,37950780
VN30,2012-04-19,538.54,542.43,532.9,533.68,29899980
VN30,2012-04-20,533.68,539.82,529.84,533.74,21762350
VN30,2012-04-23,535.39,538.98,533.5,533.6,16134950
VN30,2012-04-24,534.82,536.0,528.84,534.89,18822090
VN30,2012-04-25,541.63,543.73,538.4,542.78,24328170
VN30,2012-04-26,542.78,544.92,538.06,538.1,22637170
VN30,2012-04-27,541.77,542.85,538.19,541.2,18517320
VN30,2012-05-02,541.77,545.52,537.51,539.72,24514390
VN30,2012-05-03,538.98,541.83,532.05,536.1,24058930
