index,time,open,high,low,close,volume
VNINDEX,2004-01-05,167.69,169.16,167.69,169.16,202210
VNINDEX,2004-01-06,170.78,170.78,170.26,170.26,206580
VNINDEX,2004-01-07,170.84,171.17,170.84,171.17,108540
VNINDEX,2004-01-08,171.79,171.79,171.6,171.6,215360
VNINDEX,2004-01-09,171.44,173.27,171.44,173.27,121590
VNINDEX,2004-01-12,173.46,174.13,173.46,174.13,145550
VNINDEX,2004-01-13,174.65,175.17,174.65,175.17,203540
VNINDEX,2004-01-14,178.72,178.72,176.35,176.35,201800
VNINDEX,2004-01-15,176.16,177.59,176.16,177.59,287080
VNINDEX,2004-01-16,180.23,183.18,180.23,183.18,298150
VNINDEX,2004-01-27,190.88,191.87,190.88,191.87,85760
VNINDEX,2004-01-28,200.73,200.8,200.73,200.8,72610
VNINDEX,2004-01-29,210.46,210.46,210.46,210.46,244280
VNINDEX,2004-01-30,217.7,217.7,214.32,214.32,1206380
VNINDEX,2004-02-02,213.26,214.32,207.14,207.14,701260
VNINDEX,2004-02-03,200.69,207.14,199.56,199.56,780240
VNINDEX,2004-02-04,200.03,208.26,200.03,208.26,388770
VNINDEX,2004-02-05,217.85,217.85,215.33,215.33,748200
VNINDEX,2004-02-06,215.35,215.35,213.42,213.42,286420
VNINDEX,2004-02-09,212.55,213.42,212.55,212.55,293040
VNINDEX,2004-02-10,212.49,213.0,212.49,213.0,306700
VNINDEX,2004-02-11,212.81,213.0,212.81,212.81,371880
VNINDEX,2004-02-12,212.99,213.76,212.99,213.76,339760
VNINDEX,2004-02-13,215.85,217.1,215.85,217.1,530730
VNINDEX,2004-02-16,219.54,219.54,218.22,218.22,419590
VNINDEX,2004-02-17,214.2,219.06,214.2,219.06,516750
VNINDEX,2004-02-18,221.99,221.99,221.99,221.99,446890
VNINDEX,2004-02-19,227.67,227.67,227.67,227.67,689840
VNINDEX,2004-02-20,233.83,235.3,233.83,235.3,717680
VNINDEX,2004-02-23,244.35,246.35,244.35,246.35,303340
VNINDEX,2004-02-24,256.37,256.37,255.0,255.0,643100
VNINDEX,2004-02-25,262.04,262.04,255.11,255.11,1168650
VNINDEX,2004-02-26,252.53,255.11,250.64,250.64,880480
VNINDEX,2004-02-27,250.17,260.6,250.17,260.6,864040
VNINDEX,2004-03-01,274.45,274.45,271.45,271.45,841810
VNINDEX,2004-03-02,275.84,275.84,273.43,273.43,952090
VNINDEX,2004-03-03,269.78,273.43,269.78,269.86,932230
VNINDEX,2004-03-04,268.24,269.86,265.03,265.03,683110
VNINDEX,2004-03-05,264.18,267.53,264.18,267.53,677540
VNINDEX,2004-03-08,266.21,267.53,264.81,264.81,525260
VNINDEX,2004-03-09,259.29,264.81,256.32,256.32,732620
VNINDEX,2004-03-10,247.79,256.32,247.79,255.47,1289970
VNINDEX,2004-03-11,258.62,261.22,258.62,261.22,629750
VNINDEX,2004-03-12,263.13,263.13,262.88,262.88,496610
