code,time,open,high,low,close,volume
FPT,2006-12-13,9.76,9.76,9.76,9.76,83530
FPT,2006-12-14,10.25,10.25,10.25,10.25,280710
FPT,2006-12-15,10.76,10.76,10.76,10.76,265300
FPT,2006-12-18,11.3,11.3,11.3,11.3,215790
FPT,2006-12-19,11.86,11.86,11.86,11.86,137520
FPT,2006-12-20,12.44,12.44,12.44,12.44,220120
FPT,2006-12-21,12.22,12.22,11.83,11.83,156400
FPT,2006-12-22,11.25,11.25,11.25,11.25,143500
FPT,2006-12-25,10.69,10.69,10.69,10.69,22140
FPT,2006-12-26,10.17,11.2,10.17,11.2,300150
FPT,2006-12-27,11.71,11.71,11.2,11.71,413230
FPT,2006-12-28,11.47,11.71,11.47,11.71,144840
FPT,2006-12-29,11.35,11.35,11.22,11.22,69760
FPT,2007-01-02,10.98,10.98,10.74,10.74,81170
FPT,2007-01-03,10.74,10.98,10.74,10.98,74660
FPT,2007-01-04,11.52,11.52,11.52,11.52,148510
FPT,2007-01-05,12.08,12.08,12.08,12.08,377800
FPT,2007-01-08,12.44,12.44,11.95,11.95,351470
FPT,2007-01-09,12.08,12.08,11.95,11.95,225270
FPT,2007-01-10,11.95,12.08,11.95,12.08,314250
FPT,2007-01-11,12.2,12.2,12.2,12.2,283920
FPT,2007-01-12,12.81,12.81,12.81,12.81,279710
FPT,2007-01-15,13.05,13.44,13.05,13.44,274290
FPT,2007-01-16,14.1,14.1,14.1,14.1,339760
FPT,2007-01-17,14.61,14.61,13.42,13.42,145870
FPT,2007-01-18,12.76,13.44,12.76,13.44,282430
FPT,2007-01-19,14.1,14.1,14.1,14.1,95290
FPT,2007-01-22,14.79,14.79,14.64,14.64,461630
FPT,2007-01-23,14.64,14.69,14.64,14.69,243990
FPT,2007-01-24,14.69,14.69,14.15,14.15,156420
FPT,2007-01-25,14.15,14.15,14.15,14.15,142420
FPT,2007-01-26,13.91,14.37,13.91,14.15,129240
FPT,2007-01-29,14.27,14.76,14.27,14.76,201310
FPT,2007-01-30,15.37,15.49,15.37,15.37,324420
FPT,2007-01-31,15.57,15.74,15.57,15.74,310330
FPT,2007-02-01,15.79,15.79,15.13,15.13,114910
FPT,2007-02-02,15.37,15.37,15.37,15.37,79470
FPT,2007-02-05,15.13,15.13,14.61,14.61,110440
FPT,2007-02-06,14.39,15.25,14.39,15.25,195540
FPT,2007-02-07,14.79,15.49,14.79,15.49,116470
FPT,2007-02-08,14.74,14.74,14.74,14.74,103880
FPT,2007-02-09,14.0,14.0,14.0,14.0,194380
FPT,2007-02-12,14.69,14.69,14.69,14.69,60490
FPT,2007-02-13,15.42,15.42,15.13,15.37,160600
FPT,2007-02-14,15.13,15.13,14.88,14.88,79810
FPT,2007-02-15,14.88,14.88,14.88,14.88,59720
FPT,2007-02-26,15.61,15.61,15.61,15.61,231310
FPT,2007-02-27,16.4,16.4,16.22,16.22,289680
FPT,2007-02-28,16.22,16.22,15.42,15.42,69560
FPT,2007-03-01,15.37,15.37,14.88,15.0,98850
FPT,2007-03-02,15.3,15.74,15.3,15.74,163420
FPT,2007-03-05,15.74,15.74,15.49,15.49,125170
FPT,2007-03-06,14.77,14.77,14.75,14.75,200880
FPT,2007-03-07,15.26,15.26,14.9,14.9,43980
FPT,2007-03-08,14.77,14.77,14.29,14.65,85390
FPT,2007-03-09,15.14,15.14,14.65,14.65,56050
FPT,2007-03-12,14.9,14.9,14.65,14.9,87310
FPT,2007-03-13,14.95,14.95,14.21,14.9,74620
FPT,2007-03-14,14.77,14.77,14.16,14.16,57450
