code,time,open,high,low,close,volume
HPG,2007-11-15,2.01,2.01,1.69,1.97,1306330
HPG,2007-11-16,1.87,1.87,1.87,1.87,248510
HPG,2007-11-19,1.78,1.78,1.78,1.78,120480
HPG,2007-11-20,1.7,1.7,1.7,1.7,58710
HPG,2007-11-21,1.62,1.76,1.62,1.76,728080
HPG,2007-11-22,1.76,1.76,1.7,1.76,266040
HPG,2007-11-23,1.72,1.76,1.7,1.7,106370
HPG,2007-11-26,1.67,1.7,1.66,1.69,135430
HPG,2007-11-27,1.67,1.67,1.62,1.62,262120
HPG,2007-11-28,1.64,1.66,1.64,1.66,131020
HPG,2007-11-29,1.66,1.67,1.64,1.66,128110
HPG,2007-11-30,1.64,1.64,1.62,1.64,114720
HPG,2007-12-03,1.66,1.66,1.64,1.64,68710
HPG,2007-12-04,1.62,1.64,1.62,1.62,125040
HPG,2007-12-05,1.59,1.62,1.59,1.61,112160
HPG,2007-12-06,1.66,1.66,1.61,1.62,76580
HPG,2007-12-07,1.59,1.62,1.58,1.58,133400
HPG,2007-12-10,1.55,1.56,1.51,1.51,156420
HPG,2007-12-11,1.46,1.49,1.44,1.44,184520
HPG,2007-12-12,1.37,1.5,1.37,1.45,307780
HPG,2007-12-13,1.45,1.45,1.39,1.4,130410
HPG,2007-12-14,1.39,1.42,1.39,1.41,81260
HPG,2007-12-17,1.42,1.43,1.41,1.41,87220
HPG,2007-12-18,1.41,1.45,1.4,1.45,104160
HPG,2007-12-19,1.49,1.52,1.47,1.52,217360
HPG,2007-12-20,1.52,1.53,1.46,1.47,105030
HPG,2007-12-21,1.45,1.5,1.45,1.47,114130
HPG,2007-12-24,1.49,1.49,1.47,1.49,166920
HPG,2007-12-25,1.49,1.49,1.47,1.47,109460
HPG,2007-12-26,1.42,1.47,1.42,1.47,157680
HPG,2007-12-27,1.47,1.49,1.47,1.47,86100
HPG,2007-12-28,1.47,1.49,1.47,1.49,81580
HPG,2008-01-02,1.49,1.5,1.49,1.49,174750
HPG,2008-01-03,1.51,1.51,1.5,1.5,172390
HPG,2008-01-04,1.52,1.52,1.5,1.52,221230
HPG,2008-01-07,1.53,1.54,1.52,1.54,434240
HPG,2008-01-08,1.54,1.61,1.54,1.61,364540
HPG,2008-01-09,1.61,1.69,1.55,1.69,595940
HPG,2008-01-10,1.67,1.67,1.61,1.67,476150
HPG,2008-01-11,1.66,1.71,1.64,1.66,467570
HPG,2008-01-14,1.67,1.67,1.64,1.66,283070
HPG,2008-01-15,1.63,1.63,1.58,1.58,306310
HPG,2008-01-16,1.61,1.66,1.61,1.64,441980
HPG,2008-01-17,1.63,1.63,1.56,1.56,158820
HPG,2008-01-18,1.53,1.6,1.53,1.6,141170
HPG,2008-01-21,1.58,1.6,1.56,1.56,71040
HPG,2008-01-22,1.52,1.53,1.52,1.52,83260
HPG,2008-01-23,1.5,1.5,1.45,1.45,119690
HPG,2008-01-24,1.5,1.5,1.46,1.46,95130
HPG,2008-01-25,1.45,1.47,1.46,1.46,82650
HPG,2008-01-28,1.49,1.49,1.46,1.46,41020
HPG,2008-01-29,1.47,1.49,1.47,1.49,120000
HPG,2008-01-30,1.56,1.56,1.53,1.56,362700
HPG,2008-01-31,1.49,1.53,1.49,1.53,82360
HPG,2008-02-01,1.58,1.58,1.55,1.58,192380
HPG,2008-02-12,1.6,1.6,1.55,1.56,104780
HPG,2008-02-13,1.55,1.55,1.52,1.52,150700
HPG,2008-02-14,1.52,1.53,1.52,1.53,102680
HPG,2008-02-15,1.52,1.53,1.52,1.52,184330
HPG,2008-02-18,1.45,1.46,1.45,1.46,209000
HPG,2008-02-19,1.42,1.46,1.42,1.45,86310
HPG,2008-02-20,1.45,1.46,1.38,1.38,92170
HPG,2008-02-21,1.31,1.31,1.31,1.31,62400
HPG,2008-02-22,1.25,1.27,1.25,1.27,233220
HPG,2008-02-25,1.31,1.33,1.31,1.33,231520
HPG,2008-02-26,1.33,1.33,1.28,1.28,250540
HPG,2008-02-27,1.28,1.32,1.28,1.3,92710
HPG,2008-02-28,1.29,1.31,1.29,1.29,50120
HPG,2008-02-29,1.28,1.28,1.25,1.26,150350
HPG,2008-03-03,1.2,1.2,1.2,1.2,201920
HPG,2008-03-04,1.14,1.14,1.14,1.14,107190
HPG,2008-03-05,1.09,1.11,1.09,1.1,280760
HPG,2008-03-06,1.16,1.16,1.16,1.16,25170
HPG,2008-03-07,1.21,1.21,1.21,1.21,428080
HPG,2008-03-10,1.27,1.27,1.27,1.27,420740
HPG,2008-03-11,1.3,1.3,1.26,1.26,240380
HPG,2008-03-12,1.27,1.31,1.27,1.28,299590
HPG,2008-03-13,1.3,1.3,1.27,1.29,153220
HPG,2008-03-14,1.27,1.28,1.27,1.27,103180
HPG,2008-03-17,1.22,1.23,1.2,1.2,136120
