code,time,open,high,low,close,volume
VCB,2009-06-30,9.13,9.13,9.13,9.13,294070
VCB,2009-07-01,9.59,9.59,9.06,9.21,6248390
VCB,2009-07-02,9.06,9.13,8.75,8.83,1515670
VCB,2009-07-03,8.6,8.68,8.53,8.53,899720
VCB,2009-07-06,8.53,8.91,8.53,8.91,1571740
VCB,2009-07-07,8.75,8.83,8.6,8.6,1115420
VCB,2009-07-08,8.37,8.53,8.3,8.45,763030
VCB,2009-07-09,8.3,8.53,8.14,8.22,982430
VCB,2009-07-10,8.07,8.14,7.84,7.84,1973450
VCB,2009-07-13,7.61,7.84,7.46,7.46,812260
VCB,2009-07-14,7.49,7.49,7.23,7.28,847840
VCB,2009-07-15,7.31,7.58,7.31,7.46,807250
VCB,2009-07-16,7.61,7.61,7.52,7.58,638990
VCB,2009-07-17,7.54,7.57,7.43,7.47,311000
VCB,2009-07-20,7.17,7.2,7.11,7.12,869220
VCB,2009-07-21,7.19,7.26,7.12,7.14,483900
VCB,2009-07-22,7.23,7.25,7.19,7.23,411780
VCB,2009-07-23,7.16,7.58,7.16,7.58,929090
VCB,2009-07-24,7.92,7.92,7.92,7.92,624760
VCB,2009-07-27,8.3,8.3,7.99,8.3,1535460
VCB,2009-07-28,8.3,8.53,7.99,8.07,1192800
VCB,2009-07-29,8.14,8.22,7.84,7.99,924570
VCB,2009-07-30,7.92,7.99,7.69,7.84,606660
VCB,2009-07-31,8.14,8.22,8.07,8.22,1125450
VCB,2009-08-03,8.6,8.6,8.37,8.6,2707260
VCB,2009-08-04,8.98,8.98,8.68,8.91,1869220
VCB,2009-08-05,8.83,8.98,8.68,8.83,1654270
VCB,2009-08-06,8.83,8.98,8.6,8.68,1656340
VCB,2009-08-07,8.6,8.75,8.6,8.6,1017420
VCB,2009-08-10,8.68,8.83,8.6,8.75,689300
VCB,2009-08-11,8.68,8.83,8.6,8.68,1207840
VCB,2009-08-12,8.75,8.75,8.6,8.6,996150
VCB,2009-08-13,8.75,8.75,8.6,8.68,896790
VCB,2009-08-14,8.6,8.75,8.6,8.68,709790
VCB,2009-08-17,8.6,8.68,8.53,8.53,622790
VCB,2009-08-18,8.37,8.53,8.37,8.45,927850
VCB,2009-08-19,8.6,8.6,8.37,8.45,719390
VCB,2009-08-20,8.53,8.53,8.37,8.45,578130
VCB,2009-08-21,8.53,8.83,8.53,8.53,1444220
VCB,2009-08-24,8.68,8.68,8.53,8.6,634370
VCB,2009-08-25,8.6,8.6,8.45,8.45,577480
VCB,2009-08-26,8.53,8.6,8.45,8.53,516120
VCB,2009-08-27,8.53,8.53,8.45,8.53,538870
VCB,2009-08-28,8.6,8.6,8.53,8.6,639140
VCB,2009-08-31,8.75,8.75,8.6,8.75,874340
VCB,2009-09-01,8.68,8.75,8.6,8.68,847070
VCB,2009-09-03,8.53,8.6,8.3,8.53,1078760
VCB,2009-09-04,8.3,8.53,8.3,8.3,1015060
VCB,2009-09-07,8.07,8.3,7.92,8.07,954060
VCB,2009-09-08,8.14,8.22,8.07,8.14,687300
