stock_code,time,open,high,low,close,volume
VIC,2007-09-19,2.44,2.44,2.44,2.44,307840
VIC,2007-09-20,2.56,2.56,2.54,2.56,794790
VIC,2007-09-21,2.67,2.67,2.63,2.67,1224660
VIC,2007-09-24,2.79,2.79,2.79,2.79,551130
VIC,2007-09-25,2.93,2.93,2.89,2.93,962110
VIC,2007-09-26,3.06,3.06,3.0,3.06,781900
VIC,2007-09-27,3.02,3.06,2.93,2.93,562590
VIC,2007-09-28,3.0,3.06,2.99,3.06,833570
VIC,2007-10-01,3.2,3.2,3.18,3.2,781020
VIC,2007-10-02,3.36,3.36,3.28,3.36,887990
VIC,2007-10-03,3.51,3.51,3.49,3.51,1027610
VIC,2007-10-04,3.69,3.69,3.69,3.69,1206640
VIC,2007-10-05,3.86,3.86,3.69,3.77,1116040
VIC,2007-10-08,3.75,3.84,3.69,3.77,949940
VIC,2007-10-09,3.69,3.71,3.59,3.59,527100
VIC,2007-10-10,3.65,3.67,3.57,3.59,599460
VIC,2007-10-11,3.57,3.57,3.49,3.49,362850
VIC,2007-10-12,3.47,3.51,3.45,3.51,527800
VIC,2007-10-15,3.51,3.61,3.51,3.61,326950
VIC,2007-10-16,3.61,3.61,3.53,3.53,236970
VIC,2007-10-17,3.49,3.51,3.47,3.47,272570
VIC,2007-10-18,3.43,3.55,3.41,3.41,398500
VIC,2007-10-19,3.49,3.57,3.47,3.57,525830
VIC,2007-10-22,3.51,3.51,3.47,3.51,280000
VIC,2007-10-23,3.43,3.47,3.41,3.41,192730
VIC,2007-10-24,3.41,3.51,3.41,3.45,182750
VIC,2007-10-25,3.45,3.47,3.4,3.4,163650
VIC,2007-10-26,3.38,3.38,3.34,3.34,212630
VIC,2007-10-29,3.18,3.26,3.18,3.18,457260
VIC,2007-10-30,3.18,3.24,3.18,3.2,146250
VIC,2007-10-31,3.2,3.22,3.16,3.16,140770
VIC,2007-11-01,3.18,3.2,3.08,3.14,195380
VIC,2007-11-02,3.12,3.12,3.06,3.06,197100
VIC,2007-11-05,3.2,3.2,3.2,3.2,66650
VIC,2007-11-06,3.36,3.36,3.36,3.36,70540
VIC,2007-11-07,3.24,3.32,3.24,3.24,444180
VIC,2007-11-08,3.22,3.22,3.16,3.16,170020
VIC,2007-11-09,3.16,3.28,3.16,3.28,316190
VIC,2007-11-12,3.22,3.24,3.18,3.18,96340
VIC,2007-11-13,3.14,3.14,3.02,3.02,167790
VIC,2007-11-14,3.12,3.16,3.1,3.1,296610
VIC,2007-11-15,3.1,3.12,3.08,3.12,138080
VIC,2007-11-16,3.12,3.12,3.08,3.1,93360
VIC,2007-11-19,3.12,3.12,3.1,3.1,103860
VIC,2007-11-20,3.06,3.08,3.04,3.06,73830
VIC,2007-11-21,3.0,3.02,2.97,3.02,193670
VIC,2007-11-22,3.06,3.08,3.02,3.02,60070
VIC,2007-11-23,3.16,3.16,3.16,3.16,122430
VIC,2007-11-26,3.32,3.32,3.22,3.32,594620
VIC,2007-11-27,3.32,3.32,3.24,3.3,359580
VIC,2007-11-28,3.26,3.28,3.22,3.22,237300
VIC,2007-11-29,3.24,3.26,3.12,3.12,319240
VIC,2007-11-30,3.12,3.14,3.1,3.12,485160
VIC,2007-12-03,3.06,3.16,3.06,3.12,181120
VIC,2007-12-04,3.14,3.14,3.12,3.12,241890
VIC,2007-12-05,3.1,3.12,3.06,3.06,263870
VIC,2007-12-06,3.06,3.08,3.04,3.06,164670
VIC,2007-12-07,3.06,3.1,3.04,3.06,402370
VIC,2007-12-10,3.06,3.08,3.02,3.02,182810
VIC,2007-12-11,2.99,3.0,2.95,2.99,297280
VIC,2007-12-12,3.0,3.08,3.0,3.04,127990
VIC,2007-12-13,3.06,3.06,3.02,3.02,303550
VIC,2007-12-14,3.02,3.04,3.0,3.04,185510
VIC,2007-12-17,3.02,3.02,3.0,3.02,157580
VIC,2007-12-18,3.0,3.04,3.0,3.04,154370
VIC,2007-12-19,3.08,3.1,3.06,3.1,167140
VIC,2007-12-20,3.12,3.12,3.04,3.06,191390
VIC,2007-12-21,3.04,3.06,3.04,3.06,220330
VIC,2007-12-24,3.06,3.08,3.04,3.06,155160
VIC,2007-12-25,3.04,3.06,3.02,3.02,166750
VIC,2007-12-26,3.02,3.04,3.0,3.04,141200
VIC,2007-12-27,3.04,3.04,3.02,3.02,146490
VIC,2007-12-28,3.0,3.02,3.0,3.02,220180
VIC,2008-01-02,3.02,3.06,3.02,3.06,156160
VIC,2008-01-03,3.04,3.04,3.0,3.0,111990
VIC,2008-01-04,2.99,2.99,2.97,2.97,66670
VIC,2008-01-07,2.95,2.97,2.89,2.93,117490
VIC,2008-01-08,2.93,3.0,2.93,2.95,109010
VIC,2008-01-09,2.95,2.97,2.91,2.91,56360
VIC,2008-01-10,2.79,2.85,2.79,2.79,291740
VIC,2008-01-11,2.81,2.85,2.81,2.83,78900
VIC,2008-01-14,2.93,2.93,2.83,2.83,215790
VIC,2008-01-15,2.73,2.75,2.69,2.71,199290
VIC,2008-01-16,2.79,2.83,2.79,2.83,171870
VIC,2008-01-17,2.97,2.97,2.75,2.83,248700
VIC,2008-01-18,2.83,2.89,2.79,2.87,187430
VIC,2008-01-21,2.83,2.83,2.79,2.79,189070
VIC,2008-01-22,2.71,2.77,2.71,2.73,165780
VIC,2008-01-23,2.7,2.7,2.62,2.62,227280
VIC,2008-01-24,2.62,2.69,2.62,2.62,125020
VIC,2008-01-25,2.62,2.66,2.62,2.66,84860
VIC,2008-01-28,2.66,2.66,2.63,2.66,106560
VIC,2008-01-29,2.63,2.7,2.63,2.7,188520
