ticker,time,open,high,low,close,volume
VNM,2006-01-19,2.15,2.15,2.15,2.15,109350
VNM,2006-01-20,2.23,2.23,2.19,2.19,157840
VNM,2006-01-23,2.19,2.19,2.13,2.13,81400
VNM,2006-01-24,2.13,2.13,2.11,2.11,66000
VNM,2006-01-25,2.11,2.15,2.11,2.15,57220
VNM,2006-01-26,2.17,2.17,2.17,2.17,18750
VNM,2006-01-27,2.15,2.15,2.15,2.15,25630
VNM,2006-02-06,2.15,2.15,2.15,2.15,25190
VNM,2006-02-07,2.19,2.19,2.19,2.19,138720
VNM,2006-02-08,2.23,2.23,2.23,2.23,159300
VNM,2006-02-09,2.23,2.23,2.23,2.23,153580
VNM,2006-02-10,2.19,2.23,2.19,2.23,128650
VNM,2006-02-13,2.23,2.23,2.23,2.23,153670
VNM,2006-02-14,2.23,2.23,2.23,2.23,113260
VNM,2006-02-15,2.23,2.23,2.21,2.21,132600
VNM,2006-02-16,2.23,2.23,2.23,2.23,184290
VNM,2006-02-17,2.27,2.33,2.27,2.33,128090
VNM,2006-02-20,2.44,2.44,2.44,2.44,62050
VNM,2006-02-21,2.56,2.56,2.56,2.56,101970
VNM,2006-02-22,2.64,2.64,2.56,2.56,264890
VNM,2006-02-23,2.6,2.6,2.6,2.6,130490
VNM,2006-02-24,2.62,2.62,2.62,2.62,90480
VNM,2006-02-27,2.64,2.66,2.64,2.66,162140
VNM,2006-02-28,2.68,2.78,2.68,2.78,164820
VNM,2006-03-01,2.9,2.9,2.88,2.88,164480
VNM,2006-03-02,2.9,2.92,2.9,2.92,222520
VNM,2006-03-03,2.88,2.88,2.78,2.78,227880
VNM,2006-03-06,2.76,2.84,2.76,2.84,200050
VNM,2006-03-07,2.84,2.84,2.84,2.84,129210
VNM,2006-03-08,2.8,2.8,2.76,2.76,163660
VNM,2006-03-09,2.8,2.8,2.78,2.78,206310
VNM,2006-03-10,2.8,2.8,2.78,2.78,125760
VNM,2006-03-13,2.84,2.84,2.84,2.84,257130
VNM,2006-03-14,2.86,2.88,2.86,2.88,223540
VNM,2006-03-15,2.88,2.88,2.8,2.8,201720
VNM,2006-03-16,2.88,2.88,2.84,2.84,171110
VNM,2006-03-17,2.84,2.88,2.84,2.88,189800
VNM,2006-03-20,2.88,2.92,2.88,2.92,320020
VNM,2006-03-21,2.96,2.98,2.96,2.98,266040
VNM,2006-03-22,3.05,3.05,2.98,2.98,173010
VNM,2006-03-23,3.0,3.02,3.0,3.02,181330
VNM,2006-03-24,3.02,3.02,3.0,3.0,137520
VNM,2006-03-27,3.02,3.02,3.02,3.02,167410
VNM,2006-03-28,3.02,3.02,3.02,3.02,130790
VNM,2006-03-29,3.05,3.11,3.05,3.11,284640
VNM,2006-03-30,3.25,3.25,3.25,3.25,184200
VNM,2006-03-31,3.33,3.33,3.29,3.29,171770
VNM,2006-04-03,3.41,3.45,3.41,3.45,259620
VNM,2006-04-04,3.57,3.57,3.29,3.29,242500
VNM,2006-04-05,3.45,3.45,3.45,3.45,191790
VNM,2006-04-06,3.53,3.53,3.53,3.53,234410
VNM,2006-04-07,3.61,3.65,3.61,3.65,276750
VNM,2006-04-10,3.71,3.71,3.61,3.61,190930
VNM,2006-04-11,3.57,3.57,3.51,3.51,152780
VNM,2006-04-12,3.57,3.61,3.57,3.61,134540
VNM,2006-04-13,3.65,3.69,3.65,3.69,182010
VNM,2006-04-14,3.69,3.69,3.65,3.65,135270
VNM,2006-04-17,3.65,3.65,3.65,3.65,162080
VNM,2006-04-18,3.69,3.69,3.69,3.69,183230
VNM,2006-04-19,3.74,3.74,3.69,3.69,195960
VNM,2006-04-20,3.69,3.69,3.69,3.69,130410
VNM,2006-04-21,3.88,3.88,3.88,3.88,378460
VNM,2006-04-24,4.06,4.06,4.06,4.06,202190
VNM,2006-04-25,4.22,4.22,4.14,4.14,387490
VNM,2006-04-26,3.98,3.98,3.98,3.98,282180
VNM,2006-04-27,3.98,3.98,3.8,3.8,371490
VNM,2006-04-28,3.78,3.8,3.78,3.8,420830
VNM,2006-05-03,3.94,3.94,3.94,3.94,132570
VNM,2006-05-04,3.9,3.9,3.86,3.86,217800
VNM,2006-05-05,3.86,3.86,3.78,3.78,272950
VNM,2006-05-08,3.78,3.78,3.65,3.65,217830
VNM,2006-05-09,3.47,3.47,3.47,3.47,421900
VNM,2006-05-10,3.31,3.31,3.31,3.31,360820
VNM,2006-05-11,3.47,3.47,3.47,3.47,393040
VNM,2006-05-12,3.63,3.63,3.63,3.63,60420
VNM,2006-05-15,3.8,3.8,3.8,3.8,133080
VNM,2006-05-16,3.69,3.69,3.61,3.61,340760
VNM,2006-05-17,3.69,3.69,3.67,3.67,191180
VNM,2006-05-18,3.63,3.63,3.63,3.63,112310
VNM,2006-05-19,3.57,3.61,3.57,3.61,137010
VNM,2006-05-22,3.61,3.61,3.57,3.57,122780
VNM,2006-05-23,3.49,3.49,3.49,3.49,122020
VNM,2006-05-24,3.57,3.65,3.57,3.65,122100
VNM,2006-05-25,3.57,3.57,3.53,3.53,127620
VNM,2006-05-26,3.57,3.57,3.57,3.57,105180
VNM,2006-05-29,3.53,3.53,3.53,3.53,105830
VNM,2006-05-30,3.49,3.49,3.49,3.49,227310
VNM,2006-05-31,3.57,3.61,3.57,3.61,196540
VNM,2006-06-01,3.61,3.61,3.57,3.57,61330
VNM,2006-06-02,3.57,3.57,3.57,3.57,63670
VNM,2006-06-05,3.61,3.61,3.61,3.61,90560
VNM,2006-06-06,3.63,3.63,3.61,3.61,117690
VNM,2006-06-07,3.59,3.59,3.57,3.57,67020
VNM,2006-06-08,3.57,3.59,3.57,3.59,70020
VNM,2006-06-09,3.63,3.63,3.61,3.61,140600
VNM,2006-06-12,3.57,3.57,3.57,3.57,29670
VNM,2006-06-13,3.57,3.57,3.55,3.55,85330
VNM,2006-06-14,3.55,3.55,3.55,3.53,62490
VNM,2006-06-15,3.51,3.51,3.51,3.51,54860
VNM,2006-06-16,3.45,3.45,3.41,3.41,215160
VNM,2006-06-19,3.39,3.39,3.37,3.37,107900
VNM,2006-06-20,3.35,3.35,3.25,3.25,143160
VNM,2006-06-21,3.17,3.17,3.13,3.13,590790
VNM,2006-06-22,3.25,3.27,3.25,3.27,195510
VNM,2006-06-23,3.31,3.31,3.25,3.27,168260
VNM,2006-06-26,3.23,3.25,3.23,3.23,105820
VNM,2006-06-27,3.19,3.21,3.19,3.21,134560
VNM,2006-06-28,3.24,3.29,3.24,3.29,93070
VNM,2006-06-29,3.29,3.33,3.29,3.33,178890
VNM,2006-06-30,3.33,3.33,3.31,3.33,364050
VNM,2006-07-03,3.29,3.31,3.29,3.29,53410
VNM,2006-07-04,3.26,3.26,3.24,3.24,55320
VNM,2006-07-05,3.24,3.24,3.24,3.24,38160
VNM,2006-07-06,3.22,3.29,3.22,3.29,43990
